Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
359,lucabelezal,77,0,1,115
360,saulosjoseph,3,0,4,33
361,FelipeDecome,44,0,0,71
362,saulocn,0,2,0,80
363,MrChampz,128,0,4,76
364,robsonsilv4,43,1,6,76
365,ipirangad3v,292,8,21,50
366,catapandanilo,12,2,5,64
367,joaoulian,0,0,1,11
368,Mahmoud-Italy,1,0,0,68
369,alefkdev,0,0,0,7
370,santos-rj,127,0,17,24
371,roliveira3891,21,0,0,86
372,nicacioliveira,1,1,0,15
373,LcsK,1,0,0,35
374,rmmarquini,6,1,0,33
375,Miqueias92,40,0,0,31
376,paulofoxbr,0,0,0,11
377,ismarfernandes,1,0,0,8
378,renanalvesdev,54,0,0,36
379,thgmhz,79,0,0,19
380,Sergioamjr,38,0,6,66
381,gabrielfroes,24,0,0,27
382,ricardomac,1,1,1,21
383,wellitongervickas,647,0,2,100
384,RenanC4,0,0,0,7
385,joberthrogers18,107,0,1,64
386,Throyer,61,0,1,44
387,ryanizac,361,0,0,22
388,marlloncsoares,1,0,0,11
389,fmm312,54,0,0,74
390,JafferWisllon,2,0,1,1
391,Solon97,17,0,0,6
392,eltonmarques96,0,0,0,38
393,XandRules,32,0,2,63
394,MatheusHonorato,48,0,1,115
395,DayvsonAlmeida,200,0,0,15
396,luizfelipe94,0,0,0,39
397,denis-bernardo,0,0,0,11
398,rmlopes2006,18,0,9,1
399,danielcassanelli,1,0,0,38
400,VictorObrien,2,0,0,37
401,DevMata,0,0,0,40
402,devlucaslopes,14,0,0,70
403,bmviniciuss,55,0,0,23
404,dmalberto,11,1,1,25
405,ranielcsar,661,2,8,34
406,daltonfontes,78,0,0,28
407,MarceloWis,14,0,0,71
408,antoniogdelrio,145,2,22,22
409,dmmaycon,1,0,0,61
410,pedroulhoa,10,0,8,5
411,drapala,0,0,0,2
412,adelinopds,0,0,0,327
413,tiagopaes,11,0,0,16
414,RafaelWebApps,0,0,0,2
415,nandersonrodrigues,5,0,0,11
416,DuduKling,73,0,0,11
417,antonio-raian,3,0,0,23
418,zabini,0,1,1,16
419,renataigarashi,6,0,5,38
420,estevaowat,27,0,0,33
421,llucasreis,22,0,18,61
422,lucasdu4rte,4,0,0,54
423,renanrider,7,2,0,6
424,phelipegustavo,7,1,0,14
425,giovaniDev,0,0,0,14
426,jaymesanches,6,0,0,39
427,aismaniotto,26,3,1,24
428,rsoaresribolli,31,0,0,15
429,MatheusNCarvalho,0,0,0,63
430,AmauriOliveira,35,0,0,92
431,luisfscoelho,39,0,0,19
432,cleano01,96,1,50,10
433,ivosoares,1,0,0,60
434,lucas-eduardo,172,0,0,94
435,darleykrefta,0,0,0,22
436,LucasMallmann,154,0,3,146
437,GilbertoSLeite,35,0,0,25
438,tammyfaga,0,0,0,17
439,msilvaspa,11,0,4,81
440,samuel-cabral,64,0,0,85
441,waristonpereira,0,0,0,17
442,GusBedasi,35,0,44,7
443,eduardomatos88,1,0,0,20
444,westefns-souza,12,0,0,36
445,marcelojean10,71,0,1,20
446,evertoncristiano,0,0,0,14
447,micaelgomes,2,0,0,42
448,GabrielDeOliveiraAlmeida,19,0,0,22
449,luisbilecki,345,0,15,83
450,claudimf,0,0,0,39
451,zecarloz,27,0,0,45
452,matheusvitors,4,0,1,12
453,nfo94,137,0,0,52
454,acidiney,231,2,1,132
455,luizpgb,4,1,2,6
456,DevSouza,18,0,0,12
457,wesleysantoss,4,0,1,12
458,ViniciusGambi,1,0,0,13
459,gabrielnavas,1010,0,0,144
460,gabrielgianelli,20,0,0,46
461,luizotavioautomacao,0,0,0,37
462,dev-leonzera,42,0,0,29
463,Juninhoww2,16,0,1,405
464,marcosnovaesq,24,1,0,17
465,guifonte,0,0,0,28
466,devrodrigues,0,0,0,36
467,joaodorea,0,0,0,16
468,italonicacio,26,0,0,31
469,CarlosEscouto,0,0,0,32
470,Ronicley,8,11,5,65
471,allefgomes,110,1,10,35
472,medeirosjoaquim,0,0,0,101
473,ttrmoreira,12,0,0,24
474,joaovitor32,13,0,0,43
475,thiagocborghi,1,0,0,3
476,pedrothome1,54,4,0,22
477,jersonb,321,154,53,64
478,carlosalexandre3107,6,0,0,18
479,GustavoSantosCS,0,0,0,11
480,phaalonso,62,4,4,62
481,alefeans,315,0,1,23
482,turimthiago,0,0,0,23
483,naigueldev,27,0,0,105
484,fbiohenrique1,0,0,0,22
485,thalesHDL,0,0,0,9
486,girardiricardo,75,0,0,36
487,MarioJuniorPro,43,1,3,45
488,JonathanKunz,6,0,0,7
489,Wil-g2,15,0,0,70
490,vagnerwentz,15,2,0,83
491,cleberson-dev,35,0,1,49
492,VieiraMeloRoberta,257,0,82,48
493,jeordanecarlosbatista,15,0,0,41
494,EitlerPereira,0,0,0,149
495,FernandoLopesTI,9,0,1,13
496,MaiconPereira,4,0,0,9
497,Gared10,120,0,2,2
498,Tsugami,227,4,61,109
499,matheusfaggi,0,0,0,18
500,caarlos1,0,0,0,0
501,LuisDomiciano,102,1,3,95
502,brunodesde1987,24,0,4,13
503,marcelorafael,15,0,0,20
504,rodrigodasilva,95,0,0,79
505,caribeedu,2,0,0,11
506,Vinealius,0,0,0,2
507,LuizMauro,20,0,0,20
508,RenanRodriguesTI,37,0,0,17
509,murilohenzo,9,0,2,91
510,matheusdemedeiros,154,6,0,36
511,oseiassaboia,109,0,8,34
512,thiagoscerqueira,0,0,0,14
513,rafaeltedesco,464,0,0,131
514,mathd1as,30,0,1,13
515,raphael251,40,0,7,13
516,WillyRenzo,4,0,0,27
517,dias1618,0,0,0,18
518,renatoosaka,63,0,9,80
519,alexgomesnet3,148,0,0,33
520,nboliv,1,1,1,11
521,frhdl,0,0,0,17
522,simao-msjr,2,0,0,20
523,refl3ction,73,16,11,39
524,gnunesleonardo,4,0,0,12
525,eddotbarbosa,52,0,2,19
526,Luc4sguilherme,28,0,4,72
527,gaelsreis,84,0,0,8
528,OtavioCapila,11,3,1,22
529,joaoresende,0,0,0,0
530,shayan-taheri,10,0,0,871
