Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
291,sammydigits,2,1,1,44
292,marichelle,70,0,0,37
293,gingerwilliams,0,0,0,67
294,enliktjioe,33,0,0,51
295,ITCarst,0,0,0,31
296,timothyha,0,0,0,19
297,Developer-DNM,0,0,0,1
298,KeChong,0,0,0,3
299,manojambati,0,0,0,3
300,nxbdi,0,0,0,340
301,josifovics,0,0,0,5
302,junqueira,0,0,0,260
303,nadiavasconcelos,0,0,0,4
304,eichmasw,0,0,0,0
305,movibe,0,0,8,634
306,johnny-webdev,0,0,0,5
307,gndclouds,259,12,26,28
308,robbart,0,0,0,12
309,bersoriano,0,0,0,13
310,aberwag,0,0,0,23
311,juanca202,1,0,0,13
312,darkfeather,0,0,0,6
313,zhacai,0,0,0,15
314,stevenerat,0,0,0,7
315,DaveVoyles,1,0,1,112
316,bdoooh,26,0,9,26
317,fabianopechibella,0,0,0,19
318,felipepucinelli,0,0,0,24
319,jrjones,0,0,0,3
320,ejdelmonico,0,0,0,10
321,nahuelcandia,7,0,0,25
322,illustratordavid,16,0,0,12
323,zs1621,0,0,0,119
324,lyndontavares,14,0,1,180
325,jonasluz,2,0,2,11
326,kewlcherry,0,0,0,212
327,jd-carroll,8,17,11,74
328,bradleySuira,617,1,92,15
329,acyl,2,0,0,49
330,rchadgray,73,2,2,23
331,pablopagues,0,0,0,5
332,tang9ian,8,2,1,28
333,nathanfletcher,82,10,18,76
334,zaynaib,18,1,0,123
335,LoopyCoderHex,0,0,0,1
336,nimdasys,0,0,0,46
337,imtiazwazir,2,1,1,4
338,wengki,0,0,0,16
339,rayfaddis,13,0,1,24
340,obklar,0,0,0,29
341,bobquest33,0,0,0,981
342,kriskorsmo,0,0,0,4
343,JKpedapudi,0,0,0,10
344,scissorsneedfoodtoo,91,6,60,129
345,shapeous,0,0,0,16
346,JamesRLamar,0,0,0,18
347,schmidtkevina,0,0,0,3
348,cjazinski,0,1,0,24
349,chethankumar,0,2,0,41
350,kyledodge,3,1,0,9
351,selmanon,0,0,0,160
352,ivanionut,0,0,0,116
353,StefanoManzoni,0,0,0,7
354,digitalcrafted,3,0,0,39
355,dvdln,0,0,0,7
356,AhmedGMurtaza,0,0,0,192
357,jlepage,0,0,0,5
358,caixiaolei,0,0,0,1
359,wilkerfoureaux,4,0,0,15
360,Squeebly-Joe,0,0,0,0
361,ruskey86,0,0,1,16
362,jaysingh,0,0,0,0
363,mkobar,694,0,3,158
364,nzjony,1,0,1,26
365,dotNetkow,9,1,7,34
366,liropa,0,0,0,14
367,ngwechi,0,0,0,157
368,sdcuike,7,0,0,74
369,liline,0,0,0,6
370,rafaelferrezla,0,0,0,8
371,veggie2u,127,25,72,36
372,joshuaward,78,0,11,47
373,Ij888,10,0,0,118
374,killinux,13,0,0,328
375,mirokita,0,0,0,4
376,QAInsights,1145,31,25,302
377,victorsoa,0,0,0,7
378,gpedro,20,4,15,305
379,aalishanmatrix,0,0,0,223
380,Bhona,3,0,0,17
381,KiranKumarAlugonda,0,0,0,160
382,kkaabbaa,0,3,0,20
383,richfergus,1,1,0,21
384,socraticbc,0,1,0,7
385,jays2009,0,0,0,1
386,denistsoi,0,0,0,246
387,AndroidNextdoor,11,0,0,7
388,zhongw,0,2,0,5
389,schofieldtyler,0,0,0,137
390,kobekoto,0,0,0,23
391,VProfirov,18,1,0,14
392,zichong,0,0,0,4
393,adammelancon,44,0,0,24
394,MuratGundes,0,0,0,237
395,amaurycatelan,0,0,0,57
396,fbs70,0,0,0,42
397,ashhath,0,0,0,12
398,adamapps,0,0,0,4
399,robenr,0,0,0,4
400,jrgcubano,10,4,2,395
401,fabiodesouza,0,0,0,3
402,rlclaro,2,1,0,9
403,sdurette,0,0,0,7
404,digitalEyez,0,0,0,0
405,ankushc88337,0,0,0,0
406,whyhelloren,0,0,0,3
407,pjohn1024,0,0,0,2
408,semacaraeg,0,0,0,28
409,donIngeniero,0,0,0,4
410,vnglst,137,0,30,83
411,Manoj85,21,0,0,62
412,kevindb,0,0,0,17
413,luistiagos,163,0,0,118
414,Masquerade-Circus,88,0,3,56
415,enricodeleo,41,1,3,83
416,manoj-bhosale,0,0,0,178
417,lucusp,0,0,0,11
418,tonyjunkes,7,1,0,53
419,laramjo,0,0,0,5
420,lausining,0,0,0,2
421,illucent,8,2,0,35
422,1091333,0,0,0,7
423,fordream,0,0,0,736
424,Fenhir,0,0,0,1
425,matheusrocha89,64,6,19,70
426,rx4hvn,1,0,0,29
427,JoeFinan,0,0,0,7
428,samuelgonsalves,3,0,0,24
429,zbqBaoqing,0,1,0,49
430,tmlaughlinjr,10,0,0,7
431,androsudip,0,0,0,18
432,gpickin,132,7,36,156
433,MeemHamza,0,0,0,6
434,kkufieta,145,0,147,118
435,d2alphame,192,1,15,39
436,jsieber-old,0,0,0,2
437,sibin-p,0,0,0,0
438,StephenESC,0,0,0,1
439,andreyzenkov,0,0,0,0
440,damiththa,0,0,0,24
441,genjo2748,0,0,1,29
442,cjuszczak,0,0,0,1
443,tahababa,0,0,0,11
444,edbartram,0,0,0,16
445,vitoravale,0,0,0,25
446,nympheastudio,9,2,0,10
447,JoseCage,3,1,3,39
448,Kalanidhi,0,0,0,13
449,CaptainSin,0,0,0,18
450,dtepe,1,0,0,2
451,rojarohini,0,0,0,38
452,splitpierre,6,0,3,25
453,siirila,0,0,0,32
454,allergeek,0,0,0,7
455,alirizaadiyahsi,0,3,0,73
456,KJTechnical,0,0,0,0
457,SaphirePhenux,0,0,0,24
458,sedakcan,3,0,0,1
459,gledston,0,0,0,13
460,MrInternet21,0,0,0,3
461,johnbocook,18,0,0,34
462,micaot,0,0,0,21
463,hollent,0,0,0,4
464,kylekirkby,62,6,15,154
465,ksaravn,0,0,0,0
466,Magicianred,0,0,0,1722
467,bismert,0,0,0,3
468,psiekierko,0,0,0,3
469,danbucholtz,0,0,0,93
470,mayurxy08,22,0,0,77
471,RanaivosonHerimanitra,10,0,4,153
472,growthHyo,0,0,0,10
473,sakovias,0,0,0,1
474,geekwolverine,0,0,0,1470
475,mayaugusto7,23,5,0,128
476,tranhieutt,0,0,0,218
477,snowsky,392,2,4,390
478,fraescaya10,1,0,0,11
479,enriqueruiz,0,0,0,28
480,chuonglqspkt,0,0,0,21
481,kumaro,0,0,0,8
482,rubuntu,0,0,0,25
483,ViewUse,0,0,0,48
484,ngnghuy1010,0,0,0,7
485,perk-jiang,0,0,0,22
486,es6t,0,0,0,0
487,codesundar,1,0,0,33
488,AbhinavJain13,0,0,34,183
489,AitorAlejandro,51,0,7,58
490,nakulkundra,12,1,0,46
491,jonahadkins,6,0,1,40
492,claudioborgogno,0,0,0,12
493,FrancisGrignon,0,0,0,12
494,zipdfreak,0,0,0,1
495,canerce,0,0,0,10
496,hatgit,118,5,6,217
497,BryanWilhite,551,95,0,35
498,SirwanAfifi,70,1,0,159
499,akashjarad,0,0,0,33
500,bilalbaraz,4,0,0,6
501,heriproj,0,0,0,86
502,huybk,0,0,0,12
503,ilkerhalil,16,0,7,219
504,oscarcornejo,19,0,0,90
505,cristovaov,10,0,1,31
506,IcedReaper,0,0,0,4
507,saurindashadia,1,1,0,1153
508,ahmer-yasin,7,0,0,53
509,edwarr99,0,0,0,6
510,dwcares,4,0,1,46
511,WaseemWaheeb,0,0,0,6
512,bordemof,0,0,0,48
513,nelsonkd,4,0,0,13
514,zoonoo,7,0,1,26
515,jeffreychung,0,0,0,415
516,varit05,5,0,0,70
517,krishnamaneni,0,0,0,3
518,ishanika,0,0,0,15
519,slyn,0,0,0,18
520,zhenglu0,0,0,0,37
521,transno,0,0,0,17
522,albert07,0,0,0,0
523,manolaz,22,2,0,272
524,hoknwg,0,0,0,1
525,cs12b015,2,0,0,31
526,hizi,0,0,0,3
527,SirmaXX,105,0,3,67
528,joe-hudson,0,0,0,5
529,SimonLlewellyn,0,0,0,0
530,DjalmoCruzJr,10,0,0,44
531,ginfreaks,6,0,0,1
532,glepretre,102,4,9,22
533,TheTWebb,0,0,0,0
534,mmarcin,0,0,0,3
535,naisofly,23,5,10,47
536,yeomann,18,0,0,138
537,pavanshirguppi,0,0,0,4
538,FabioVergani,47,0,0,392
539,AndreaGiachetto,0,0,0,0
540,Varun-Krishna-P,0,0,0,26
541,bjsunhe,81,0,0,106
542,zarko-tg,0,12,0,15
543,roneyvia,15,0,0,26
544,k-ivan,109,5,2,121
545,parksangkil,0,0,0,841
546,jmmaguigad,6,0,0,49
547,SteveLeve,1,0,0,4
548,lajpatshah,0,0,0,57
549,ArminShahamati,3,0,0,37
550,dhrandy,107,0,0,58
551,suifengtec,33,1,1,160
552,petkoe,0,0,0,1
553,techstreams,0,0,0,41
554,highflyer910,255,0,0,93
555,snailbob,0,0,0,62
556,TiagoWinehouse,0,0,0,23
557,rahulballani,0,0,0,9
558,bdbch,238,9,74,42
559,PavanAlapati,0,0,0,0
560,kenschulte,0,0,0,14
561,boykininteractive,0,0,0,24
562,kjalen,0,0,0,9
563,21paradox,0,0,0,55
564,alimuratumutlu,196,8,5,22
565,KeKeP1994,0,0,0,4
566,claudioviola,2,2,0,8
567,kanthakumar2010,0,0,0,8
568,maki7a,0,0,0,7
569,w3debugger,0,0,0,3
570,celsofabri,21,0,0,24
571,rtherry,0,0,0,3
572,nncl,173,2,14,283
573,iamgilwell,9,0,0,36
574,zahiruldu,1,0,4,232
575,helinyu,7,0,0,201
576,dfloresalarcon,0,0,0,24
577,avidrucker,271,27,2,75
578,anandkrishnanbk,0,0,0,42
579,Shrhawk,45,1,11,35
580,sixertoy,17,0,0,73
581,hodgkiss,6,1,0,6
582,zakimdb,0,0,0,23
583,jnthas,362,6,13,74
584,markazz,7,0,0,13
585,w17714m,0,0,0,69
586,soymariomoreno,0,0,0,99
587,nicolaeturcan,0,0,0,53
588,yannav,0,0,0,7
589,muyaedward,63,1,9,90
590,allenl7,75,1,0,50
591,Zifah,89,0,2,33
592,Dineshrajaa,1,0,0,66
593,glidematrix,0,0,0,11
594,moneya,2,2,0,193
595,localhosthd,0,5,1,5
596,pdhoward,101,2,0,202
597,acermak,0,0,0,0
