Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
284,KennedyTedesco,558,3,102,60
285,carameltora,0,0,0,11
286,Motirck,20,0,1,33
287,bo-re,0,0,0,0
288,hocinebouarara,269,1,1,61
289,mcanthony,0,0,0,4262
290,ruanvalente,293,27,64,171
291,tannerlinsley,1403,7,5,112
292,micaellimedeiros,104,0,0,34
293,neodigm,2236,65,7,399
294,amaurybsouza,891,1,17,154
295,Camilotk,952,5,42,214
296,w-arantes,141,0,13,18
297,eduardofg87,8,0,0,98
298,gabrielduete,353,32,93,53
299,Caaddss,0,0,0,62
300,PotHix,94,2,0,51
301,c9s,1584,15,158,435
302,martinsgabriel1956,256,0,1,144
303,MilleniumSpark,0,0,0,0
304,cosmohacker,178,0,2,37
305,VictorPSousa,23,0,1,25
306,Pleiterson,33,0,0,206
307,giko,94,2,30,25
308,dropefernandes,22,0,0,41
309,sindresorhus,1432,106,25,1089
310,sharifulcoder,0,0,0,3
311,phanatagama,231,1,2,40
312,codeferreira,197,0,1,79
313,felipealvessi,2,0,0,61
314,poettering,2888,40,547,16
315,gvvynplaine,0,0,0,492
316,art-santos,45,0,1,44
317,hamzaali81,42,0,0,347
318,noahbroyles,52,1,8,78
319,robertoachar,31,0,0,100
320,josepholiveira,63,1,7,77
321,pauloclemente,12,0,0,26
322,fgrehm,103,7,3,211
323,BotBitmap,0,0,0,5
324,mhaidarhanif,1755,73,22,254
325,davimonteiro7,8,0,0,35
326,rmanguinho,10,0,0,10
327,mrprompt,52,0,0,180
328,unhappychoice,1376,5,45,28
329,rodrigobranas,470,0,0,214
330,felipecastrosales,707,70,61,115
331,andredezzy,25,0,0,64
332,alternbit,9,0,0,3
333,cristineguadelupe,212,35,197,84
334,mstraughan86,0,0,0,28
335,CodePromoter,0,0,0,0
336,tomast1337,401,8,14,83
337,HadzhieV777,4982,0,0,45
338,Jciel,28,0,2,55
339,getify,166,34,4,66
340,hacker8853,0,0,0,22
341,imsomedev,0,0,0,5
342,mateussn,1,0,0,1
343,larazevedo,52,0,0,7
344,sibelius,484,106,0,325
345,raphaelalmeidamartins,407,0,0,65
346,DGKSK8LIFE,0,0,0,108
347,felipecandian,90,1,0,57
348,matiasinsaurralde,29,0,20,332
349,BEPb,1128,0,0,39
350,ronal2do,3,0,1,401
351,ImGabreuw,1466,20,144,146
352,smartgeek1003,0,0,0,47
353,li-jia-nan,714,19,621,119
354,Carolis,8,0,0,49
355,Bullas,20,0,0,9
356,Lotar-lucas,20,0,4,20
357,leogregianin,58,9,13,103
358,formidablae,1576,72,37,173
359,wbruno,47,1,0,16
360,shakiliitju,849,0,100,38
361,alejandroatacho,493,2,7,65
362,cristianprochnow,447,9,32,77
363,attractiveDev,6,0,0,51
364,xiaoyifang,1046,171,501,29
365,robertvitoriano,3,0,0,74
366,artursantiago,0,0,0,56
367,nophora,9,0,0,59
368,Shougo,2791,16,48,169
369,thiiagoms,539,7,201,107
370,ipyramiddev,135,1,7,55
371,Mach-Levi,6110,1,5,50
372,patevs,566,2,0,190
373,movibe,0,0,8,634
374,thezedwards,0,0,0,509
375,Jhefersontorres,3,0,1,22
376,andrecampll,104,0,49,107
377,mayaugusto7,23,2,0,128
378,gaearon,7552,76,163,268
379,evinw,28,0,0,17
380,coreh,52,6,22,56
381,Wellington01,2,0,0,41
382,Streeterxs,57,12,53,38
383,jarthurdev,0,0,0,5
384,duduribeiro,35,4,10,149
385,JubayerRiyad,156,2,9,11
386,anacvignola,10,0,4,41
387,OftenUser,434,1,0,60
388,vitormattos,2754,82,515,137
389,dfalbel,1203,49,172,213
390,thanhtoan1196,0,8,0,434
391,mauvieira,3,0,0,22
392,jgcmarins,9,3,7,39
393,Soldy,561,20,2,349
394,johanbacks,35,0,0,39
395,lucasfcosta,206,40,22,77
396,birobirobiro,529,14,45,111
397,menegazzi,0,0,0,0
398,ErickWendel,233,10,15,274
399,Super45coder,2,0,0,44
400,joelhandwell,0,0,0,36
401,antirez,682,9,0,70
402,jq2,1,0,0,17
403,DaxSoft,157,0,0,91
404,fabnicolas,3,7,3,54
405,twpayne,998,42,358,133
406,JefersonLucas,312,3,1,37
407,eltoncampos1,593,1,33,132
408,ramalho,280,2,0,211
409,iuricode,169,2,5,11
410,HelenDias,1,0,0,22
411,rodrigo-brito,29,1,9,173
412,vmarcosp,315,7,61,34
413,gabrieldejesus,117,0,3,86
414,joivo,11,0,0,33
415,adamdunkels,1,0,1,10
